query_id,query,chunk_id,page,bm25_rank,vec_rank,chunk_preview,label
q001,大学学习有什么特点？,p8_c1,8,3,11,（2）学习态度不端正：现在的大学生中，很多人对自己“为什么要学习”缺乏正确 的认识，因而在学习中，缺乏积极主动的学习心态，表现为遇到上课老师点名的课就 去听，课后就是玩游戏、听歌等；平时不主动消化学习内容，把希望寄托在考前的画 重点上。 （,0
q001,大学学习有什么特点？,p8_c0,8,10000,3,华南师范大学学生心理健康教研室 —9— 130. 大学学习具有专业性。大学生的学习是在确定了基本的专业方向后进行的，因此大学 生学习的职业定向性较为明确，即为将来走上工作岗位，适应社会需要进行学习。同 时，专业与学科群的划分也把大学学习与大,1
q001,大学学习有什么特点？,p9_c0,9,7,10000,华南师范大学学生心理健康教研室 —10— 136. 学习焦虑是一种一般性的不安、担忧和紧张感，其原因在于害怕学习失败、担心不能 完成学习任务及随之而来的自尊、自我效能感的丧失。但实际上，适度的学习焦虑是 可以促进学习的。 137. 1908,0
q001,大学学习有什么特点？,p7_c1,7,10000,7,导得很少，大学生在课前、课后没有预习、复习，说不定就完全听不懂了，而且大学 老师也不会每天待在办公室里等着你去问问题。 127. 学生走进大学，需要学习的“开学第一课”或许就是如何有效地进行大学学习，如何 适应大学课堂的变化。 128. 大,0
q001,大学学习有什么特点？,p10_c0,10,11,23,华南师范大学学生心理健康教研室 —11— 142. 大学生要先深入了解自己的专业核心课程、发展现状、就业前景等，然后再来判定该 专业是不是真的是自己所认为的那样，也确定自己是不是真的喜欢该专业。 143. 智力因素与非智力因素在学习中发挥着,0
q001,大学学习有什么特点？,p20_c0,20,29,15,华南师范大学学生心理健康教研室 —21— 247. 大学学习与高中学习特点的比较： （1）学习目标：高中是考上大学，大学是成为社会需要的优秀人才，对大学生提出 的要求是掌握专门的知识，培养专门能力，提高综合素质。 （2）学习主动性：高中是学,1
q001,大学学习有什么特点？,p7_c0,7,27,27,华南师范大学学生心理健康教研室 —8— 116. 霍妮的人格理论认为神经症水平的人际交往模式分成三种方式： （1）接近人——“如果我顺从，我就不会得到伤害”； （2）远离人——“如果我后退，没有任何人能够伤害我”； （3）反对人——“如果我,0
q001,大学学习有什么特点？,p18_c0,18,15,10000,华南师范大学学生心理健康教研室 —19— 235. CASVE 循环的五个阶段是：沟通、分析、综合、评估和执行。 沟通（Communication）：识别问题的存在，找出差距。沟通是CASVE 决策过程中 的第一个阶段，人们意识到问题的存在,0
q001,大学学习有什么特点？,p18_c1,18,19,10000,缺乏自信、自负、盲目从众依赖等心理问题，有一个重要原因，是因为他们没有一个 明确合理的求职目标，导致他们在求职过程中不知道什么样的工作适合自己，自然也 难以找到满意的工作，从而引发种种消极心态。 240. “备准”思维是没有明确目标，走一步,0
q001,大学学习有什么特点？,p17_c0,17,10000,19,华南师范大学学生心理健康教研室 —18— 227. 大学的价值： （1）大学给我们提供了一个良好的个人成长环境。我们在这里脱去稚气，成为一个 更为全面发展的人，为未来长远的人生打下坚实的基础。大学是一个让自我学会独立 的阶段。大学让我们更广,0
q001,大学学习有什么特点？,p11_c0,11,23,10000,华南师范大学学生心理健康教研室 —12— 148. 信息爆炸下究竟会产生哪些焦虑？ 其一，信息爆炸让我们感觉要学东西太多，时间不够用。 其二，要学习的东西太多，不知从何下手。 149. 越是背求自己要集中注意力，注意力越是跑到了“怕被干扰”,0
q001,大学学习有什么特点？,p2_c1,2,10000,29,根据他人对自己的看法和评价而发展起对自己的认识，这个过程在人的一生中一直进 行着。 41. 大学生对自己的认知可以通过以下四个方面逐渐形成： 自己的行为、他人的反馈、反射性评价、社会比较。 42. 大学阶段是走向社会的准备和过渡阶段，大学生,0
q002,在大学有学习焦虑要怎么办？,p8_c1,8,3,3,（2）学习态度不端正：现在的大学生中，很多人对自己“为什么要学习”缺乏正确 的认识，因而在学习中，缺乏积极主动的学习心态，表现为遇到上课老师点名的课就 去听，课后就是玩游戏、听歌等；平时不主动消化学习内容，把希望寄托在考前的画 重点上。 （,0
q002,在大学有学习焦虑要怎么办？,p9_c0,9,7,11,华南师范大学学生心理健康教研室 —10— 136. 学习焦虑是一种一般性的不安、担忧和紧张感，其原因在于害怕学习失败、担心不能 完成学习任务及随之而来的自尊、自我效能感的丧失。但实际上，适度的学习焦虑是 可以促进学习的。 137. 1908,1
q002,在大学有学习焦虑要怎么办？,p11_c0,11,15,7,华南师范大学学生心理健康教研室 —12— 148. 信息爆炸下究竟会产生哪些焦虑？ 其一，信息爆炸让我们感觉要学东西太多，时间不够用。 其二，要学习的东西太多，不知从何下手。 149. 越是背求自己要集中注意力，注意力越是跑到了“怕被干扰”,0
q002,在大学有学习焦虑要怎么办？,p10_c0,10,11,23,华南师范大学学生心理健康教研室 —11— 142. 大学生要先深入了解自己的专业核心课程、发展现状、就业前景等，然后再来判定该 专业是不是真的是自己所认为的那样，也确定自己是不是真的喜欢该专业。 143. 智力因素与非智力因素在学习中发挥着,0
q002,在大学有学习焦虑要怎么办？,p8_c0,8,23,15,华南师范大学学生心理健康教研室 —9— 130. 大学学习具有专业性。大学生的学习是在确定了基本的专业方向后进行的，因此大学 生学习的职业定向性较为明确，即为将来走上工作岗位，适应社会需要进行学习。同 时，专业与学科群的划分也把大学学习与大,0
q002,在大学有学习焦虑要怎么办？,p9_c1,9,19,19,自己的学习生活造成很大困扰，请尽快求助专业心理咨询人员。 139. 拖延症是指在能够预料后果有害的情况下，仍然把计划要做的事情往后推迟的一种行 为，是一种普遍存在的、有害的自我调节失败的形式。 140. 著名心理学家弗兰克告诉我们，需求意义,1
q002,在大学有学习焦虑要怎么办？,p17_c0,17,27,27,华南师范大学学生心理健康教研室 —18— 227. 大学的价值： （1）大学给我们提供了一个良好的个人成长环境。我们在这里脱去稚气，成为一个 更为全面发展的人，为未来长远的人生打下坚实的基础。大学是一个让自我学会独立 的阶段。大学让我们更广,0
q002,在大学有学习焦虑要怎么办？,p20_c1,20,29,10000,251. 目标制定的SMART 原则中，T 为时间节点，其含义为：目标要有一个时间节点。有 时候拖延是你自己不给节点。 252. 大学四年级为求职准备阶段。一般情况下，毕业班学生主要以完成实习与毕业论文， 提升求职技巧，为升学就业做充分准备,1
q002,在大学有学习焦虑要怎么办？,p20_c0,20,10000,29,华南师范大学学生心理健康教研室 —21— 247. 大学学习与高中学习特点的比较： （1）学习目标：高中是考上大学，大学是成为社会需要的优秀人才，对大学生提出 的要求是掌握专门的知识，培养专门能力，提高综合素质。 （2）学习主动性：高中是学,0
q003,在大学想有所发展但是拖延怎么办？,p10_c0,10,3,7,华南师范大学学生心理健康教研室 —11— 142. 大学生要先深入了解自己的专业核心课程、发展现状、就业前景等，然后再来判定该 专业是不是真的是自己所认为的那样，也确定自己是不是真的喜欢该专业。 143. 智力因素与非智力因素在学习中发挥着,1
q003,在大学想有所发展但是拖延怎么办？,p9_c1,9,10000,3,自己的学习生活造成很大困扰，请尽快求助专业心理咨询人员。 139. 拖延症是指在能够预料后果有害的情况下，仍然把计划要做的事情往后推迟的一种行 为，是一种普遍存在的、有害的自我调节失败的形式。 140. 著名心理学家弗兰克告诉我们，需求意义,1
q003,在大学想有所发展但是拖延怎么办？,p8_c1,8,7,15,（2）学习态度不端正：现在的大学生中，很多人对自己“为什么要学习”缺乏正确 的认识，因而在学习中，缺乏积极主动的学习心态，表现为遇到上课老师点名的课就 去听，课后就是玩游戏、听歌等；平时不主动消化学习内容，把希望寄托在考前的画 重点上。 （,0
